symbol,scan_time,market_provider,price,mark_price,funding_rate,oi_contracts,oi_value_now,price_change_pct_24h,high_24h,low_24h,volume_24h,rsi_1m,rsi_5m,rsi_15m,rsi_1h,rsi_4h,rsi_1d,oi_value_1h_ago,oi_change_pct_1h,ml_prediction,ml_probability
SIRENUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.69318,0.69318,9.2e-05,1223955,8465117.571,1.38,0.71489,0.53054,8131771.4478,52.74,56.2,59.5,60.1,52.4,48.49,8608435.067400001,-1.665,,
JELLYJELLYUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.05071,0.05071,0.000704,3227324,16383510.285999998,7.28,0.053622,0.046977,8063871.0998,62.18,50.38,45.68,54.32,67.21,57.79,16443819.105999999,-0.367,,
WIFUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.1758,0.1758,0.000132,10986526,19347272.286000002,-1.1199999999999999,0.1837,0.1717,8031112.53,84.36,67.73,57.11,46.76,39.94,40.85,19989660.432,-3.214,,
HBARUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.08923,0.08923,-0.000103,12216420,10899489.923999999,-3.3300000000000005,0.09312,0.08896,7998107.3476,53.23,44.26,38.79,31.63,37.93,47.89,10806843.876,0.857,,
BCHUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,448.78,448.78,-6.8e-05,2379862,10681296.6284,-1.05,457.88,445.48,7569019.4038,61.73,56.42,49.86,43.38,43.19,48.87,10553436.7868,1.212,,
FLOKIUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,3.184e-05,3.184e-05,0.000329,1791134,5706552.924000001,-3.4799999999999995,3.385e-05,3.1428e-05,7525829.1418,65.03,63.31,52.72,40.41,43.39,54.89,5727437.154000001,-0.365,,
ETHFIUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.4298,0.4298,-0.000222,3133941,1348848.2064,-4.2299999999999995,0.4536,0.4218,7302306.1066,60.7,72.44,58.53,42.14,38.86,42.08,1334221.0624,1.096,,
FARTCOINUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.1976,0.1976,1e-06,43613496,8635472.208,-3.46,0.214,0.1926,7156138.2436,80.71,71.46,56.46,44.13,46.57,51.49,8756527.626,-1.382,,
BEATUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.54982,0.54982,-0.000484,1534629,8431865.5776,-2.55,0.57988,0.50767,7102770.929,54.74,60.84,55.59,50.42,49.11,59.23,8554484.102400001,-1.433,,
ASTERUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.64568,0.64568,4.7e-05,50440964,32571243.68372,-2.03,0.66436,0.64107,6936778.44528,64.16,58.5,48.33,38.02,35.49,40.04,32588496.94359,-0.053,,
MOODENGUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.05719,0.05719,2e-05,7673758,4397830.7098,-0.96,0.06268,0.05563,6875922.7298,75.55,65.82,56.24,47.03,47.1,56.82,4435716.6315,-0.854,,
NOTUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.0004019,0.0004019,-0.000222,53446364,2147474.90552,-4.71,0.0006622,0.0003884,6875065.70752,58.46,57.31,55.21,47.0,45.0,52.47,2134231.2159,0.621,,
SPXUSDT,2026-04-27T21:36:39.315235+00:00,kucoin,0.373,0.373,-0.000486,22104610,8258282.296,-2.48,0.4225,0.37,6851439.799,66.13,51.9,43.54,38.58,47.17,57.78,8192284.3615999995,0.806,,
