symbol,scan_time,price,price_change_pct_24h,high_24h,low_24h,volume_24h,rsi_1m,rsi_5m,rsi_15m,rsi_1h,rsi_4h,rsi_1d,oi_contracts,funding_rate,rsi_mean,rsi_std,rsi_min,rsi_max,rsi_range,rsi_divergence_5m_4h,rsi_divergence_15m_1h,rsi_divergence_1m_1h,n_tf_oversold,n_tf_overbought,price_momentum_24h,price_pct_change,price_rolling_std_6,oi_pct_change,rsi_5m_slope,cg_funding_oi_weighted_bps,cg_funding_spread_bps,cg_top_ls_ratio,cg_global_ls_ratio,cg_top_minus_global_ls,cg_taker_buy_sell_ratio,cg_liq_pull_up,cg_liq_pull_down,cg_liq_pull_ratio,orderbook_imb,cvd_avg,taker_buy_ratio,basis_bps,orderbook_bid_depth,orderbook_ask_depth,trade_count,target_time,future_scan_time,future_price,future_return_pct,label
BASUSDT,2026-04-29 23:01:12.560132+00:00,0.013619,-2.26,0.014934,0.011789,10212007.85124,,,,,,,1129755.02027,0.000833,,,,,,,,,0,0,-2.26,,,,,3.861527075402285,6.6,,,,,626943.8680233737,626943.8680233699,1.000000000000006,,,,-18.234865061999063,,,,2026-04-30 00:01:12.560132+00:00,,,,
BASUSDT,2026-04-29 23:21:51.344441+00:00,0.013696,-0.66,0.014934,0.011789,10291621.32662,,,,,,,1178987.2896,0.00084,,,,,,,,,0,0,-0.66,0.5653865922608192,,4.35778274463734,,3.861527075402285,6.6,,,,,626943.8680233737,626943.8680233699,1.000000000000006,,,,-18.234865061999063,,,,2026-04-30 00:21:51.344441+00:00,,,,
BCHUSDT,2026-04-29 23:01:12.560132+00:00,448.05,-0.67,455.32,441.72,20179844.9808,45.07,58.61,53.61,44.72,44.88,48.28,10598461.452,3e-05,49.195,5.7381556270286005,44.72,58.61,13.89,13.729999999999997,8.89,0.3500000000000014,0,0,-0.67,,,,,0.26962506169388384,0.894589958558,1.89,,,,15308525.296642873,15308525.296642784,1.0000000000000058,-0.006605895816095597,-23.19999999999998,0.29591836734693894,1.5639662183295318,6796571.0,6886963.000000002,100.0,2026-04-30 00:01:12.560132+00:00,,,,
BCHUSDT,2026-04-29 23:21:51.344441+00:00,447.84,-0.86,455.32,441.72,20015494.4648,38.56,53.44,52.13,43.84,44.51,48.17,10608904.152,3e-05,46.775,5.590616245102144,38.56,53.44,14.879999999999995,8.93,8.29,-5.280000000000001,0,0,-0.86,-0.04686976899900275,,0.09853033902416097,-5.170000000000002,0.26962506169388384,0.894589958558,1.89,,,,15308525.296642873,15308525.296642784,1.0000000000000058,-0.006605895816095597,-23.19999999999998,0.29591836734693894,1.5639662183295318,6796571.0,6886963.000000002,100.0,2026-04-30 00:21:51.344441+00:00,,,,
BIOUSDT,2026-04-29 23:01:12.560132+00:00,0.03419,-5.94,0.03748,0.03203,5441433.26096,52.9,59.63,60.65,57.04,59.24,61.34,7613593.27781,-0.00028,58.46666666666666,3.0983070646187856,52.9,61.34,8.440000000000005,0.39000000000000057,3.6099999999999994,-4.140000000000001,0,0,-5.94,,,,,-1.8710550174097895,3.6300000000000003,1.05,,,,3932280.733630575,3932280.7336305715,1.0000000000000009,-0.016236903671176094,4719.4,0.6625249672842483,5.8962264150941,72701.61441,75101.479,100.0,2026-04-30 00:01:12.560132+00:00,,,,
BIOUSDT,2026-04-29 23:21:51.344441+00:00,0.03404,-8.49,0.03724,0.03203,5424066.17614,45.36,53.62,58.18,56.2,58.9,61.12,7592965.1232,-0.000311,55.56333333333333,5.606188247523148,45.36,61.12,15.759999999999998,-5.280000000000001,1.9799999999999969,-10.840000000000003,0,0,-8.49,-0.4387247733255273,,-0.27093848932173703,-6.010000000000005,-1.8710550174097895,3.6300000000000003,1.05,,,,3932280.733630575,3932280.7336305715,1.0000000000000009,-0.016236903671176094,4719.4,0.6625249672842483,5.8962264150941,72701.61441,75101.479,100.0,2026-04-30 00:21:51.344441+00:00,,,,
BNBUSDT,2026-04-29 23:01:12.560132+00:00,617.98,-0.8,629.46,610.23,10098151.8534,42.13,58.54,54.22,42.24,39.38,46.48,23458298.3272,3e-06,47.165,7.613750061566244,39.38,58.54,19.159999999999997,19.159999999999997,11.979999999999997,-0.10999999999999943,0,0,-0.8,,,,,-0.32787485201525995,1.034766851973,2.29,,,,32470517.99450673,32470517.99450661,1.0000000000000038,-0.04864048903520492,3313.8,0.9923922734026746,-6.154643516568875,189134957.70000002,208474895.4,100.0,2026-04-30 00:01:12.560132+00:00,,,,
BNBUSDT,2026-04-29 23:21:51.344441+00:00,617.16,-1.0699999999999998,629.46,610.23,9979540.4578,27.6,46.91,48.89,40.59,37.98,46.1,23440341.6168,1e-05,41.345,7.890811745314926,27.6,48.89,21.29,8.93,8.299999999999997,-12.990000000000002,1,0,-1.0699999999999998,-0.1326903783294031,,-0.076547369930835,-11.630000000000003,-0.32787485201525995,1.034766851973,2.29,,,,32470517.99450673,32470517.99450661,1.0000000000000038,-0.04864048903520492,3313.8,0.9923922734026746,-6.154643516568875,189134957.70000002,208474895.4,100.0,2026-04-30 00:21:51.344441+00:00,,,,
BOMEUSDT,2026-04-29 23:01:12.560132+00:00,0.000501,-1.7000000000000002,0.0005502,0.0004816,5041477.74032,35.8,48.74,47.35,41.46,43.89,52.91,1666534.3158000002,-0.000218,45.025,6.007963881382778,35.8,52.91,17.11,4.850000000000001,5.890000000000001,-5.660000000000004,0,0,-1.7000000000000002,,,,,-1.1901980448599128,2.7399999999999998,1.43,,,,924680.6176020027,924680.6176019876,1.0000000000000164,-0.08563494534081277,-175.0,0.3026612539467749,-11.985617259289143,27.541754899999997,32.7006062,100.0,2026-04-30 00:01:12.560132+00:00,,,,
BOMEUSDT,2026-04-29 23:21:51.344441+00:00,0.0005006,-1.69,0.0005502,0.0004816,5024832.37124,44.59,49.14,47.27,41.46,43.89,52.98,1670285.54032,-0.000238,46.55500000000001,4.132712184510311,41.46,52.98,11.519999999999996,5.25,5.810000000000002,3.1300000000000026,0,0,-1.69,-0.07984031936127955,,0.2250913458208048,0.3999999999999986,-1.1901980448599128,2.7399999999999998,1.43,,,,924680.6176020027,924680.6176019876,1.0000000000000164,-0.08563494534081277,-175.0,0.3026612539467749,-11.985617259289143,27.541754899999997,32.7006062,100.0,2026-04-30 00:21:51.344441+00:00,,,,
BSBUSDT,2026-04-29 23:01:12.560132+00:00,0.44907,-47.91,0.94101,0.29843,37041246.3692,41.48,48.62,45.5,33.9,37.91,52.78,5463524.8317,-0.000676,43.365,6.981575037196121,33.9,52.78,18.880000000000003,10.71,11.600000000000001,7.579999999999998,0,0,-47.91,,,,,-5.233980493776386,7.415940017997001,1.19,,,,3628072.602857343,3628072.6028573154,1.0000000000000075,0.03472606445635458,319.4,0.956546598056032,0.665365507451528,2277.9500000000003,2125.0511,100.0,2026-04-30 00:01:12.560132+00:00,,,,
BSBUSDT,2026-04-29 23:21:51.344441+00:00,0.46246,-46.05,0.94101,0.29843,36964845.4146,57.24,55.09,48.54,35.03,38.68,53.4,5363389.0992,-0.000829,47.99666666666667,9.167120958439822,35.03,57.24,22.21,16.410000000000004,13.509999999999998,22.21,0,0,-46.05,2.981717772284931,,-1.8328045645368163,6.470000000000006,-5.233980493776386,7.415940017997001,1.19,,,,3628072.602857343,3628072.6028573154,1.0000000000000075,0.03472606445635458,319.4,0.956546598056032,0.665365507451528,2277.9500000000003,2125.0511,100.0,2026-04-30 00:21:51.344441+00:00,,,,
