symbol,scan_time,market_provider,price,mark_price,funding_rate,oi_contracts,oi_value_now,price_change_pct_24h,high_24h,low_24h,volume_24h,rsi_1m,rsi_5m,rsi_15m,rsi_1h,rsi_4h,rsi_1d,oi_value_1h_ago,oi_change_pct_1h,rsi_mean,rsi_std,rsi_min,rsi_max,rsi_range,rsi_divergence_5m_4h,rsi_divergence_15m_1h,rsi_divergence_1m_1h,n_tf_oversold,n_tf_overbought,oi_rising,oi_spike,price_momentum_24h,price_pct_change,price_rolling_std_6,oi_pct_change,rsi_5m_slope,cg_funding_oi_weighted_bps,cg_funding_spread_bps,cg_top_ls_ratio,cg_global_ls_ratio,cg_top_minus_global_ls,cg_taker_buy_sell_ratio,cg_liq_pull_up,cg_liq_pull_down,cg_liq_pull_ratio,target_time,future_scan_time,future_price,future_return_pct,label
ADAUSDT,2026-04-29 21:45:00.809610+00:00,0.24457,-1.26,0.25397,0.23826,29429297.8418,65.93,72.21,55.85,44.2,44.06,44.97,44588185.2449,-0.000114,,,,,,14862743.404928667,25742987.77214184,-0.000114,44588185.2449,44588185.245014004,,,,1,1,0,0,72.21,-616.0973212091423,251.43754932684726,53.667179242917065,44588138.914900005,-2.0048935663804643,2.404415978027,3.45,,,,31693257.00794866,31693257.00794853,1.0000000000000042,2026-04-29 22:45:00.809610+00:00,,,,
AGTUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,0.018495,0.018495,5.1e-05,1593181.0,2948818.7129,-15.71,0.033963,0.01634,18189644.7558,26.72,39.14,50.71,50.19,55.18,58.08,2986105.0934,-1.249,46.669999999999995,11.713441851138375,26.72,58.08,31.36,-16.04,0.5200000000000031,-23.47,1,0,0,0,-15.71,,,,,-2.78,0.0,,,,,690458.0507828591,690458.050782855,1.000000000000006,2026-04-27 22:28:02.383816+00:00,,,,
AGTUSDT,2026-04-27 21:36:39.315235+00:00,kucoin,0.018809,0.018809,0.000109,1571998.0,2977364.212,-16.009999999999998,0.033963,0.01634,18162009.6572,55.64,50.45,57.0,52.28,56.36,58.82,3047629.718,-2.306,55.09166666666667,3.1273657711669514,50.45,58.82,8.369999999999997,-5.909999999999997,4.719999999999999,3.3599999999999994,0,0,0,0,-16.009999999999998,1.6977561503108918,,-1.329604106501392,11.310000000000002,-2.78,0.0,,,,,690458.0507828591,690458.050782855,1.000000000000006,2026-04-27 22:36:39.315235+00:00,,,,
AGTUSDT,2026-04-28 00:12:26.523922+00:00,kucoin,0.019518,0.019518,0.000277,1503700.0,2978679.33,-26.97,0.033963,0.01634,15898509.0916,68.17,61.23,62.26,55.85,57.96,59.94,3071894.5413,-3.034,60.901666666666664,4.239789696042324,55.85,68.17,12.32,3.269999999999996,6.409999999999997,12.32,0,0,0,1,-26.97,3.769472061247292,1.464924369315194,-4.344662016109435,10.779999999999994,-2.78,0.0,,,,,690458.0507828591,690458.050782855,1.000000000000006,2026-04-28 01:12:26.523922+00:00,,,,
AGTUSDT,2026-04-28 09:12:32.046598+00:00,kucoin,0.016867,0.016867,0.000561,1342116.0,2290455.1656,-3.84,0.021585,0.016557,5700619.274,47.98,30.61,30.53,42.69,50.66,55.56,2357311.2206,-2.836,43.004999999999995,10.491315932713112,30.53,55.56,25.03,-20.049999999999997,-12.159999999999997,5.289999999999999,0,0,0,0,-3.84,-13.582334255558969,9.476799319769842,-10.74576045753808,-30.619999999999997,-2.78,0.0,,,,,690458.0507828591,690458.050782855,1.000000000000006,2026-04-28 10:12:32.046598+00:00,,,,
AGTUSDT,2026-04-29 21:45:00.809610+00:00,0.020326,10.36,0.021781,0.01724,5118743.8512,,,,,,,2493750.1902,-0.000298,,,,,,1246875.094951,1763347.6702863805,-0.000298,2493750.1902,2493750.190498,,,,1,1,0,0,,61321.71103337878,30662.209010697992,281.3935495292509,2493719.5802,-2.78,0.0,,,,,690458.0507828591,690458.050782855,1.000000000000006,2026-04-29 22:45:00.809610+00:00,,,,
AINUSDT,2026-04-27 21:28:02.383816+00:00,kucoin,0.08934,0.08934,0.001332,2332075.0,2084408.635,13.489999999999998,0.09368,0.07682,21979317.5036,48.19,47.59,47.93,59.24,77.17,65.33,2068069.0772,0.79,57.574999999999996,12.06383645446174,47.59,77.17,29.58,-29.58,-11.310000000000002,-11.050000000000004,0,1,1,0,13.489999999999998,,,,,-4.283147729830468,8.9,,,,,1897824.190657624,1897824.190657617,1.0000000000000038,2026-04-27 22:28:02.383816+00:00,,,,
AINUSDT,2026-04-27 21:36:39.315235+00:00,kucoin,0.08892,0.08892,0.001335,2344627.0,2085311.2538,12.49,0.09368,0.07682,21985957.243,45.12,47.14,46.98,58.8,77.1,65.29,2061701.2414,1.145,56.73833333333334,12.761799899178277,45.12,77.1,31.979999999999997,-29.959999999999994,-11.82,-13.68,0,1,1,0,12.49,-0.4701141705842904,,0.5382331185746603,-0.45000000000000284,-4.283147729830468,8.9,,,,,1897824.190657624,1897824.190657617,1.0000000000000038,2026-04-27 22:36:39.315235+00:00,,,,
AINUSDT,2026-04-28 00:12:26.523922+00:00,kucoin,0.09038,0.09038,0.001266,2329268.0,2105192.4184,12.94,0.09368,0.07682,21703097.7336,50.76,59.35,55.23,60.79,77.71,65.7,2102690.7,0.119,61.589999999999996,9.38235151761007,50.76,77.71,26.949999999999996,-18.359999999999992,-5.560000000000002,-10.030000000000001,0,1,1,0,12.94,1.6419253261358513,1.4934374502646353,-0.6550722140451382,12.21,-4.283147729830468,8.9,,,,,1897824.190657624,1897824.190657617,1.0000000000000038,2026-04-28 01:12:26.523922+00:00,,,,
AINUSDT,2026-04-28 09:12:32.046598+00:00,kucoin,0.08646,0.08646,0.000839,2315178.0,2004944.148,0.32,0.09368,0.08307,20624544.8874,59.06,49.87,45.98,49.32,67.28,62.74,2019259.994,-0.709,55.708333333333336,8.533684823490185,45.98,67.28,21.300000000000004,-17.410000000000004,-3.3400000000000034,9.740000000000002,0,0,0,0,0.32,-4.337242752821425,3.032211657731116,-0.6049110707741612,-9.480000000000004,-4.283147729830468,8.9,,,,,1897824.190657624,1897824.190657617,1.0000000000000038,2026-04-28 10:12:32.046598+00:00,,,,
